"%customer_name,","%customer_name,",theme,frontend/Magento/luma
"%name,","%name,",theme,frontend/Magento/luma
"This can commonly be found at the end of the URL when viewing the APM after ""/applications/""","This can commonly be found at the end of the URL when viewing the APM after ""/applications/""",module,Magento_NewRelicReporting
This is located by navigating to Events -> Deployments from the New Relic APM website,This is located by navigating to Events -> Deployments from the New Relic APM website,module,Magento_NewRelicReporting
This is located by navigating to Settings from the New Relic APM website,This is located by navigating to Settings from the New Relic APM website,module,Magento_NewRelicReporting
Use %s to replace the account ID in the URL,Use %s to replace the account ID in the URL,module,Magento_NewRelicReporting
General,عام,module,Magento_NewRelicReporting
 Copy, نسخ,module,Magento_Newsletter
A total of %1 record(s) were updated.,A total of %1 record(s) were updated.,module,Magento_Newsletter
Add to Queue,Add to Queue,module,Magento_Newsletter
Allow Guest Subscription,Allow Guest Subscription,module,Magento_Newsletter
Are you sure that you want to strip all tags?,Are you sure that you want to strip all tags?,module,Magento_Newsletter
Are you sure you want to delete this template?,Are you sure you want to delete this template?,module,Magento_Newsletter
Cancelled,Cancelled,module,Magento_Newsletter
Choose Store View:,Choose Store View:,module,Magento_Newsletter
Confirmation Email Sender,Confirmation Email Sender,module,Magento_Newsletter
Confirmation Email Template,Confirmation Email Template,module,Magento_Newsletter
Create Newsletter Template,Create Newsletter Template,module,Magento_Newsletter
CSV,CSV,module,Magento_Newsletter
Customer First Name,Customer First Name,module,Magento_Newsletter
Customer Last Name,Customer Last Name,module,Magento_Newsletter
Duplicate template code,Duplicate template code,module,Magento_Newsletter
Edit Newsletter Template,Edit Newsletter Template,module,Magento_Newsletter
Edit Queue,Edit Queue,module,Magento_Newsletter
Enter your email address,Enter your email address,module,Magento_Newsletter
Error Code,Error Code,module,Magento_Newsletter
Error Text,Error Text,module,Magento_Newsletter
Excel XML,Excel XML,module,Magento_Newsletter
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>",module,Magento_Newsletter
Need to Confirm,Need to Confirm,module,Magento_Newsletter
New Newsletter Template,New Newsletter Template,module,Magento_Newsletter
Newsletter Message Preview,Newsletter Message Preview,module,Magento_Newsletter
Newsletter Problem Reports,Newsletter Problem Reports,module,Magento_Newsletter
Newsletter Problems Report,Newsletter Problems Report,module,Magento_Newsletter
Newsletter Queue,Newsletter Queue,module,Magento_Newsletter
Newsletter Section,Newsletter Section,module,Magento_Newsletter
Newsletter Subscribers,Newsletter Subscribers,module,Magento_Newsletter
Newsletter Subscription,Newsletter Subscription,module,Magento_Newsletter
Newsletter subscription confirmation,Newsletter subscription confirmation,module,Magento_Newsletter
Newsletter subscription success,Newsletter subscription success,module,Magento_Newsletter
Newsletter Subscriptions,Newsletter Subscriptions,module,Magento_Newsletter
Newsletter Template,Newsletter Template,module,Magento_Newsletter
Newsletter unsubscription success,Newsletter unsubscription success,module,Magento_Newsletter
No such entity with %fieldName = %fieldValue,No such entity with %fieldName = %fieldValue,module,Magento_Newsletter
No Templates Found,No Templates Found,module,Magento_Newsletter
Not Activated,Not Activated,module,Magento_Newsletter
Please correct the newsletter template and try again.,Please correct the newsletter template and try again.,module,Magento_Newsletter
Please enter a new template name.,برجاء إدخال اسم قالب جديد.,module,Magento_Newsletter
Please enter a valid email address.,برجاء إدخال بريد إلكتوني صالح.,module,Magento_Newsletter
Please select one or more subscribers.,Please select one or more subscribers.,module,Magento_Newsletter
Processed,Processed,module,Magento_Newsletter
Queue End,Queue End,module,Magento_Newsletter
Queue Newsletter,Queue Newsletter,module,Magento_Newsletter
Queue Start,Queue Start,module,Magento_Newsletter
Queue Start Date,Queue Start Date,module,Magento_Newsletter
Queue Subject,Queue Subject,module,Magento_Newsletter
Recipients,Recipients,module,Magento_Newsletter
Return HTML Version,Return HTML Version,module,Magento_Newsletter
Sign Up for Our Newsletter:,Sign Up for Our Newsletter:,module,Magento_Newsletter
Something went wrong while saving this template.,Something went wrong while saving this template.,module,Magento_Newsletter
Something went wrong while saving your subscription.,Something went wrong while saving your subscription.,module,Magento_Newsletter
Something went wrong while unsubscribing you.,Something went wrong while unsubscribing you.,module,Magento_Newsletter
Something went wrong with the subscription.,Something went wrong with the subscription.,module,Magento_Newsletter
"Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>.","Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>.",module,Magento_Newsletter
Subscribe,Subscribe,module,Magento_Newsletter
Subscribed,Subscribed,module,Magento_Newsletter
Subscriber,Subscriber,module,Magento_Newsletter
Subscribers,Subscribers,module,Magento_Newsletter
Subscription Options,Subscription Options,module,Magento_Newsletter
Success Email Sender,Success Email Sender,module,Magento_Newsletter
Success Email Template,Success Email Template,module,Magento_Newsletter
Thank you for subscribing to our newsletter.,Thank you for subscribing to our newsletter.,module,Magento_Newsletter
Thank you for your subscription.,Thank you for your subscription.,module,Magento_Newsletter
The confirmation request has been sent.,The confirmation request has been sent.,module,Magento_Newsletter
The newsletter template has been deleted.,The newsletter template has been deleted.,module,Magento_Newsletter
The newsletter template has been saved.,The newsletter template has been saved.,module,Magento_Newsletter
The problems you identified have been deleted.,The problems you identified have been deleted.,module,Magento_Newsletter
There are no subscribers selected.,There are no subscribers selected.,module,Magento_Newsletter
There was a problem with the subscription: %1,There was a problem with the subscription: %1,module,Magento_Newsletter
This email address is already assigned to another user.,This email address is already assigned to another user.,module,Magento_Newsletter
This is an invalid subscription confirmation code.,رمز  تأكيد الاشتراك هذا ليس صالحا.,module,Magento_Newsletter
This is an invalid subscription ID.,تعريف الاشتراك هذا ليس صالحا.,module,Magento_Newsletter
"To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:","To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:",module,Magento_Newsletter
Total of %1 record(s) were deleted.,Total of %1 record(s) were deleted.,module,Magento_Newsletter
Unconfirmed,غير مؤكد,module,Magento_Newsletter
Unsubscribe,إلغاء الإشتراك,module,Magento_Newsletter
Unsubscribed,Unsubscribed,module,Magento_Newsletter
Unsubscription Email Sender,Unsubscription Email Sender,module,Magento_Newsletter
